size,type,ms
46100,reverse,29
46100,almost,29
46200,random,34.2
46200,reverse,25
46200,almost,18
46300,random,21
46300,reverse,17.4
46300,almost,18
46400,random,21.4
46400,reverse,17
46400,almost,18
46500,random,21.4
46500,reverse,17.6
46500,almost,18
46600,random,21.4
46600,reverse,17.2
46600,almost,18
46700,random,21.4
46700,reverse,17.2
46700,almost,18.2
46800,random,21.4
46800,reverse,17.8
46800,almost,18.4
46900,random,22.2
46900,reverse,18.4
46900,almost,20.2
47000,random,21.4
47000,reverse,17.2
47000,almost,18.2
47100,random,21.6
47100,reverse,17.4
47100,almost,18.2
47200,random,21.6
47200,reverse,17.6
47200,almost,18
47300,random,22
47300,reverse,18.8
47300,almost,18
47400,random,21.6
47400,reverse,18
47400,almost,18.4
47500,random,21.6
47500,reverse,18.2
47500,almost,18.6
47600,random,22
47600,reverse,18.2
47600,almost,18.8
47700,random,22.2
47700,reverse,18
47700,almost,19.2
47800,random,22.2
47800,reverse,18
47800,almost,19
47900,random,22.8
47900,reverse,18.6
47900,almost,19.2
48000,random,22
48000,reverse,18
48000,almost,18.2
48100,random,23.2
48100,reverse,18
48100,almost,19
48200,random,22
48200,reverse,18
48200,almost,18.8
48300,random,22
48300,reverse,18
48300,almost,18.8
48400,random,22
48400,reverse,18
48400,almost,18.6
48500,random,22.4
48500,reverse,18.4
48500,almost,18.8
48600,random,22.2
48600,reverse,18
48600,almost,18.8
48700,random,22
48700,reverse,18
48700,almost,19
48800,random,22
48800,reverse,18.6
48800,almost,18.8
48900,random,22
48900,reverse,18.4
48900,almost,18.8
49000,random,22
49000,reverse,18
49000,almost,18.8
49100,random,22
49100,reverse,18
49100,almost,19
49200,random,22.2
49200,reverse,18.2
49200,almost,19
49300,random,22.2
49300,reverse,18.6
49300,almost,19
49400,random,22.8
49400,reverse,18
49400,almost,19
49500,random,22.4
49500,reverse,18.2
49500,almost,19
49600,random,22.2
49600,reverse,19.4
49600,almost,20.4
49700,random,25
49700,reverse,19.2
49700,almost,19.2
49800,random,23.8
49800,reverse,20.2
49800,almost,19.6
49900,random,23
49900,reverse,19.2
49900,almost,21.2
50000,random,25.2
50000,reverse,18.4
50000,almost,19.4
50100,random,24.6
50100,reverse,20
50100,almost,20.4
50200,random,24.2
50200,reverse,19.6
50200,almost,20.4
50300,random,24.2
50300,reverse,19.8
50300,almost,19.8
50400,random,23
50400,reverse,19
50400,almost,19.4
50500,random,23.2
50500,reverse,19
50500,almost,19
50600,random,23
50600,reverse,19
50600,almost,19.2
50700,random,26.6
50700,reverse,20.8
50700,almost,21.2
50800,random,25
50800,reverse,19.8
50800,almost,21.2
50900,random,25
50900,reverse,20
50900,almost,21
51000,random,24.6
51000,reverse,20.2
51000,almost,21.2
51100,random,25.2
51100,reverse,20
51100,almost,21
51200,random,25
51200,reverse,20
51200,almost,21
51300,random,23.6
51300,reverse,19
51300,almost,19.6
51400,random,25.6
51400,reverse,19.4
51400,almost,20
51500,random,23.2
51500,reverse,19
51500,almost,20.2
51600,random,23.2
51600,reverse,19.6
51600,almost,20
51700,random,23.4
51700,reverse,19
51700,almost,21.4
51800,random,26
51800,reverse,21.2
51800,almost,21
51900,random,24.6
51900,reverse,19.2
51900,almost,20
52000,random,23.4
52000,reverse,19.6
52000,almost,19.8
52100,random,23.4
52100,reverse,19.2
52100,almost,20
52200,random,23.8
52200,reverse,19
52200,almost,20
52300,random,23.6
52300,reverse,19
52300,almost,20.2
52400,random,23.4
52400,reverse,19.2
52400,almost,20.2
52500,random,23.2
52500,reverse,19
52500,almost,20
52600,random,24.2
52600,reverse,19.4
52600,almost,20.2
52700,random,26.4
52700,reverse,20.8
52700,almost,22
52800,random,24.4
52800,reverse,19.4
52800,almost,20.2
52900,random,24.6
52900,reverse,19.8
52900,almost,20.6
53000,random,24.4
53000,reverse,20
53000,almost,22.8
53100,random,26.2
53100,reverse,21.4
53100,almost,21.6
53200,random,25
